"200","2010","BEVIS RANDALL S","SEAT","","RANDALL BEVIS S","281 N STAR AVE","","","PANAMA CITY","FL","32404","13","","JR'S RIB SHACK","","281 N STAR AVE","","","CALLAWAY","FL","32404","13","850-871-5601","6","16","SEA1304971","20","20","06/01/2020","06/21/2019","70","Risk Level 2",""
"200","2010","MS-SHIPWRECK ISL CORP","NOST","","MIRACLE STRIP AMUSE PARK ","P O BOX 2000","","","PANAMA CITY","FL","32402","13","","GALLEY (THE)","","12201 HUTCHINSON BLVD","","","PANAMA CITY BCH","FL","324073404","13","(850)234-3333","6","07","NOS1302181","20","20","06/01/2020","05/17/2019","0","Risk Level 1",""
"200","2010","NPC INTERNATIONAL INC","SEAT","","NPC INTERNATIONAL INC","720 W 20 ST","","","PITTSBURG","KS","66762","13","913-327-3129","PIZZA HUT #2047","","221 W 23 ST","","","PANAMA CITY","FL","324054537","13","(850)769-2219","6","08","SEA1302238","20","20","06/01/2020","05/06/2019","170","Risk Level 1",""
"200","2010","I OPAL INC","SEAT","","","5121 GULF DRIVE","","","PANAMA CITY BEACH","FL","32408","13","850-235-3555","SCHOONERS","","5121 GULF DR","","","PANAMA CITY BEACH","FL","32408","13","(850)235-3555","6","08","SEA1302323","20","20","06/01/2020","06/29/2019","349","Risk Level 2",""
"200","2010","SOUTHERN HOSPITALITY LLC","SEAT","","","5126 W HWY 98","","","PANAMA CITY","FL","32401","13","7637777","HATHAWAY INN - BREAKFAST BAR","","5126 W HWY 98","","","PANAMA CITY","FL","32401","13","7637777","6","08","SEA1304930","20","20","06/01/2020","06/26/2019","28","Risk Level 1",""
"200","2010","WAFFLE HOUSE INC","SEAT","","ATT TAX DEPT   WAFFLE HOUSE 1204","5986  FINANCIAL DRIVE","","","NORCROSS","GA","30071","710","770-729-5712","WAFFLE HOUSE INC #1204","","10327 FRONT BEACH ROAD","","","PANAMA CITY BEACH","FL","32407","13","850-236-0081","6","07","SEA1304564","20","20","06/01/2020","06/29/2019","40","Risk Level 2",""
"200","2010","WAFFLE HOUSE INC","SEAT","","TAX DEPT","ATTN TAX 5986 FINANCIAL DRIVE","","","NORCROSS","GA","30071","710","386.330-2277","WAFFLE HOUSE #1247","","306 N TYNDALL PKWY","","","CALLAWAY","FL","32404","13","386.330-2277","6","16","SEA1304610","20","20","06/01/2020","04/18/2019","40","Risk Level 2",""
"200","2010","DAHI PARTNERSHIP","SEAT","","","2203 HARRISON AVE","","","PANAMA CITY","FL","32405","13","9130074","COUNTRY INN FOOD SERVICE","","2203 HARRISON AVE","","","PANAMA CITY","FL","32405","13","9130074","6","08","SEA1304964","45","20","06/01/2019","06/29/2019","20","Risk Level 1",""
"200","2010","D J ENTERPRISES OF PANAMA CITY","SEAT","","D J ENTERPRISES OF PC INC","P O BOX 20275","","","PANAMA CITY","FL","32417","13","","TACO BELL","","434 S TYNDALL PKWY","","","PANAMA CITY","FL","32404","13","(850)784-3008","6","16","SEA1303649","20","20","06/01/2020","03/26/2019","80","Risk Level 2",""
"200","2010","T&P ENTERPRISES OF BAY COUNTY","SEAT","","","20016 FRONT BEACH RD.","","","PANAMA CITY BEACH","FL","324134429","13","(850)234-2502","LAGUNA CAFE","","20012 E FRONT BEACH RD","","","PANAMA CITY BEACH","FL","324134429","13","(850)234-2502","6","07","SEA1304130","20","20","06/01/2020","12/11/2018","20","Risk Level 1",""
"200","2010","GULF WORLD INC","NOST","","","15412 FRONT BEACH ROAD","","","PANAMA CITY BCH","FL","32413","13","2345271","GULF WORLD MARINE PARK","","15412 FRONT BEACH ROAD","","","PANAMA CITY BCH","FL","32413","13","2345271","6","07","NOS1304770","20","20","06/01/2020","01/10/2019","0","Risk Level 1",""
"200","2010","BAY POINT YACHT CLUB INC (THE)","SEAT","","THE BAY POINT YACHT CLUB INC","PO BOX 27514","","","PANAMA CITY BEACH","FL","32411","13","850-774-2632","BAY POINT YACHT CLUB (THE)","","3820 HATTERAS LANE","","","PANAMA CITY BEACH","FL","32408","13","850-774-2632","6","08","SEA1304850","20","20","06/01/2020","08/10/2018","102","Risk Level 1",""
